SUBURB_ID,LABEL
10445,"Old Madras Road"
10257,OMR
10261,"OMR Bypass Road"
10201,"Ooty East"
10483,"Ooty South"
10398,OotySub
10977,"ORR North"
10976,"ORR South"
10179,"ORR West"
10094,Other
10088,Other
10089,Other
10571,Other
10569,Other
10091,Other
10092,Other
10098,Other
10093,Other
10096,Other
10097,Other
10095,Other
10675,Other
10099,Other
10100,Other
10101,Other
10572,Other
10714,Other
10574,Other
10665,Other
10583,Other
10715,Other
10686,Other
10642,Other
10716,Other
10604,Other
10633,Other
10598,Other
10614,Other
10582,Other
10717,Other
10677,Other
10578,Other
10590,Other
10653,Other
10589,Other
10588,Other
10670,Other
10718,Other
10595,Other
10592,Other
10593,Other
10685,Other
10576,Other
10687,Other
10622,Other
10692,Other
10616,Other
10654,Other
11257,Other
10637,Other
11245,Other
10676,Other
10599,Other
10601,Other
10594,Other
10669,Other
10643,Other
10683,Other
10667,Other
10672,Other
10688,Other
10570,Other
10719,Other
10720,Other
10674,Other
10695,Other
10579,Other
10646,Other
10728,Other
10668,Other
10650,Other
10641,Other
10274,Other
10611,Other
10597,Other
10659,Other
10721,Other
10663,Other
10698,Other
10678,Other
10681,Other
10679,Other
10697,Other
10645,Other
10612,Other
10722,Other
10723,Other
10647,Other
10585,Other
10724,Other
10693,Other
10725,Other
10673,Other
10649,Other
10729,Other
10608,Other
10694,Other
10726,Other
10730,Other
10706,Other
10682,Other
10689,Other
10684,Other
10703,Other
10666,Other
10701,Other
10586,Other
10699,Other
10705,Other
10727,Other
10731,Other
10696,Other
10704,Other
10700,Other
10732,Other
10702,Other
10733,Other
10734,Other
10735,Other
10624,Other
10736,Other
10737,Other
10602,Other
10738,Other
10739,Other
10573,Other
10664,Other
10740,Other
10741,Other
10742,Other
10743,Other
10744,Other
10575,Other
10745,Other
10746,Other
10747,Other
10632,Other
10626,Other
10640,Other
10748,Other
10749,Other
10750,Other
10751,Other
10660,Other
10752,Other
10753,Other
10754,Other
10755,Other
10591,Other
10756,Other
10617,Other
10580,Other
10757,Other
10758,Other
10651,Other
10759,Other
10760,Other
10761,Other
10762,Other
10600,Other
10763,Other
10764,Other
10765,Other
10658,Other
10628,Other
10766,Other
10767,Other
10644,Other
10768,Other
10769,Other
10770,Other
10771,Other
10772,Other
10773,Other
10774,Other
10775,Other
10638,Other
10776,Other
10777,Other
10778,Other
10581,Other
10779,Other
10780,Other
10781,Other
10782,Other
10783,Other
10784,Other
